"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE","RX-39720","CDM","25099999","HCPCS","0250","RC","68462-0435-18","NDC","","both",1.00000000000000000,"UN",3.640,1.638,"HSN PARTIAL [4002]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",1.31,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE","RX-39720","CDM","25099999","HCPCS","0250","RC","68462-0435-18","NDC","","both",1.00000000000000000,"UN",3.640,1.638,"MASS GENERAL BRIGHAM HEALTH PLAN COMMERCIAL [8009]","BMC HB MASS GENERAL BRIGHAM HEALTH HMO/PPO/UNSUBSIDIZED QHP",1.96,"53.94","",,,,"0","percent of total billed charges",1.31,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACARBOSE 50 MG TABLET","RX-15895","CDM","25099999","HCPCS","0250","RC","00054-0141-25","NDC","","both",1.00000000000000000,"UN",1.690,0.761,"TUFTS CONNCARE/QHP [8020]","BMC HB TUFTS SUBSIDIZED PLANS",431.24,"","",,,,"0","case rate",0.61,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACCESS PORT GASTRIC BAND @@@ Kit Port Lpbnd Sys Acs Ii Kt Band Gstrc S Ltx-Free Disp; MKOR: NONE, MPOR: NONE","SUP-B-2106","CDM","C1788","HCPCS","0272","RC","","","","both",,"",3127.820,1407.519,"MERITAIN HEALTH [1023]","BMC HB AETNA",1529.50,"48.90","",,,,"0","percent of total billed charges",431.24,2658.65,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0131","HCPCS","0250","RC","00781-3156-06","NDC","","both",100.00000000000000000,"ML",38.370,17.267,"HSN PARTIAL [4002]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0131","HCPCS","0250","RC","24201-0100-01","NDC","","both",100.00000000000000000,"ML",38.730,17.429,"HSN PARTIAL [4002]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0131","HCPCS","0250","RC","67457-0940-10","NDC","","both",100.00000000000000000,"ML",39.790,17.906,"BCBS OUT OF STATE [6002]","BMC HB BLUE CROSS",24.79,"62.31","",,,,"0","percent of total billed charges",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0131","HCPCS","0250","RC","67457-0940-10","NDC","","both",100.00000000000000000,"ML",39.790,17.906,"ZZZCIGNA [1002]","BMC HB CIGNA",33.82,"85.00","",,,,"0","percent of total billed charges",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0134","HCPCS","0250","RC","63323-0434-41","NDC","","both",100.00000000000000000,"ML",34.110,15.350,"BCBS OUT OF STATE [6002]","BMC HB BLUE CROSS",21.25,"62.31","",,,,"0","percent of total billed charges",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0134","HCPCS","0250","RC","63323-0434-41","NDC","","both",100.00000000000000000,"ML",34.110,15.350,"ZZZAETNA [1001]","BMC HB AETNA STUDENT HEALTH",16.68,"48.90","",,,,"0","percent of total billed charges",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","RX-108021","CDM","J0137","HCPCS","0250","RC","00143-9386-01","NDC","","both",100.00000000000000000,"ML",42.630,19.184,"ZZZAETNA [1001]","BMC HB AETNA STUDENT HEALTH",20.85,"48.90","",,,,"0","percent of total billed charges",4.99,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 10 MG/ML IVPB","RX-408108021","CDM","J0137","HCPCS","0250","RC","00143-9386-01","NDC","","both",100.00000000000000000,"ML",42.630,19.184,"HSN BAD DEBT [4003]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",15.35,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","45802-0732-00","NDC","","both",1.00000000000000000,"UN",1.100,0.495,"ZZZAETNA [1001]","BMC HB AETNA",0.54,"48.90","",,,,"0","percent of total billed charges",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","45802-0732-30","NDC","","both",1.00000000000000000,"UN",0.900,0.405,"HSN DENTAL [4006]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","45802-0732-30","NDC","","both",1.00000000000000000,"UN",0.900,0.405,"TUFTS [8002]","BMC HB TUFTS SELECT",0.36,"40.00","",,,,"0","percent of total billed charges",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","45802-0732-30","NDC","","both",1.00000000000000000,"UN",0.900,0.405,"ZZZAETNA [1001]","BMC HB AETNA STUDENT HEALTH",0.44,"48.90","",,,,"0","percent of total billed charges",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","51672-2115-02","NDC","","both",1.00000000000000000,"UN",3.650,1.643,"MASS GENERAL BRIGHAM HEALTH PLAN COMMERCIAL [8009]","BMC HB MASS GENERAL BRIGHAM HEALTH HMO/PPO/UNSUBSIDIZED QHP",1.97,"53.94","",,,,"0","percent of total billed charges",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","RX-103","CDM","25099999","HCPCS","0250","RC","51672-2115-02","NDC","","both",1.00000000000000000,"UN",3.650,1.643,"TUFTS [8002]","BMC HB TUFTS SELECT",1.46,"40.00","",,,,"0","percent of total billed charges",0.32,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
