THROMBECT&/INF PERC IMG ANG S&I,3206422,CDM,361,RC,36904,CPT,,,facility,outpatient,,,16776.00000,6005.81000,United Healthcare,Individual Exchange,,8507.51,,,,,,,3593.71,13084.95,fee schedule,
THROMBECT&/INF PERC MECH W TBA S&I,3206430,CDM,361,RC,36905,CPT,,,facility,inpatient,,,25163.00000,9008.35000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,11323.35,,,,,,,11323.35,18872.25,percent of total billed charges,
THROMBECT&/INF PERC MECH W TBA S&I,3206430,CDM,361,RC,36905,CPT,,,facility,outpatient,,,25163.00000,9008.35000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,12087.01,,,,,,,3818.00,19943.57,fee schedule,
THROMBECT&/INF PERC W PLC STNT/S IV,3206448,CDM,361,RC,36906,CPT,,,facility,outpatient,,,40513.00000,14503.65000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,19138.63,,,,,,,3818.00,31578.74,fee schedule,
THROMBECT&/INF PERC W PLC STNT/S IV,3206448,CDM,361,RC,36906,CPT,,,facility,outpatient,,,40513.00000,14503.65000,United Healthcare,UHC Core,,12191.00,,,,,,,3818.00,31578.74,case rate,
THROMBECTOMY&/INF TRNSL ART PERC BI,3205762,CDM,361,RC,61645,CPT,,,facility,outpatient,,,11943.00000,4275.59000,"Health Choice Arizona, Inc.",Medicare Advantage,50,3582.90,,,,,,,1271.44,10407.00,percent of total billed charges,
THROMBECTOMY&/INF TRNSL ART PERC BI,3205762,CDM,361,RC,61645,CPT,,,facility,outpatient,,,11943.00000,4275.59000,Aetna,Qualified Health Plan,50,2687.18,,,,,,,1271.44,10407.00,percent of total billed charges,
THROMBECTOMY&/INF TRNSL ART PERC BI,3205762,CDM,361,RC,61645,CPT,,,facility,outpatient,,,11943.00000,4275.59000,Blue Cross Blue Shield of Arizona,Commercial,50,4357.45,,,,,,,1271.44,10407.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
THROMBECTOMY&/INF TRNSL ART PERC RT,3205820,CDM,361,RC,61645,CPT,,,facility,outpatient,,,7962.00000,2850.40000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,RT,3485.96,,,,,,,1271.44,10407.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
THROMBECTOMY&/INF TRNSL ART PERC RT,3205820,CDM,361,RC,61645,CPT,,,facility,outpatient,,,7962.00000,2850.40000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,RT,3268.08,,,,,,,1271.44,10407.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
THROMBOLYSIS CEREBRAL INF IV,3225059,CDM,361,RC,37195,CPT,,,facility,outpatient,,,1253.00000,448.57000,Aetna,Qualified Health Plan,,480.79,,,,,,,225.29,13084.95,fee schedule,
THROMBOLYSIS CEREBRAL INF IV,3225059,CDM,361,RC,37195,CPT,,,facility,outpatient,,,1253.00000,448.57000,Gila River Health Care Corporation,Managed Care Program,,353.52,,,,,,,225.29,13084.95,fee schedule,
THROMBOLYSIS CEREBRAL INF IV,3225059,CDM,361,RC,37195,CPT,,,facility,outpatient,,,1253.00000,448.57000,United Healthcare,UHC Doctor's Plan,,2114.00,,,,,,,225.29,13084.95,case rate,
THROMBOLYSIS INF ART INIT DAY S&I,3252970,CDM,361,RC,37211,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Aetna,Joint Venture,,11883.00,,,,,,,1271.44,14854.00,case rate,
THROMBOLYSIS INF ART INIT DAY S&I,3252970,CDM,361,RC,37211,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Banner University Health Plan,AZ Medicaid - AHCCCS,,3458.52,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF ART INIT DAY S&I,4814984,CDM,361,RC,37211,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,6337.65,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF ART INIT DAY S&I,4814984,CDM,361,RC,37211,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Provider Network of America,Commercial,,5133.75,,,,,,,1271.44,14854.00,percent of total billed charges,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,3252996,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Banner Health,Medicare Advantage,,3354.67,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,3252996,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Banner Health,Medicare Advantage,,3354.67,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,3252996,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,3268.08,,,,,,,1211.40,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815007,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Mercy Care,Medicaid,,2074.70,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815007,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Plotkin Health,Plotkin Health,,1211.40,,,,,,,1211.40,16820.00,percent of total billed charges,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815601,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,3354.67,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815601,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,Care 1st,Medicare Advantage,,3354.67,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815601,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,1211.40,16820.00,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
THROMBOLYSIS INF ART/VEN SUBSQ S&I,4815601,CDM,361,RC,37213,CPT,,,facility,outpatient,,,2692.00000,963.74000,United Healthcare,Medicare Advantage,,3354.67,,,,,,,1211.40,16820.00,fee schedule,
THROMBOLYSIS INF CATH PERITONEAL,3245586,CDM,361,RC,49999,CPT,,,facility,outpatient,,,971.00000,347.62000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,3268.08,,,,,,,436.95,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
THROMBOLYSIS INF CATH PERITONEAL,3245586,CDM,361,RC,49999,CPT,,,facility,outpatient,,,971.00000,347.62000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,436.95,5506.00,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
THROMBOLYSIS INF CATH PERITONEAL,3504065,CDM,361,RC,49999,CPT,,,facility,inpatient,,,971.00000,347.62000,Quiktrip Corporation,Commercial,,524.34,,,,,,,436.95,728.25,percent of total billed charges,
THROMBOLYSIS INF CATH PERITONEAL,3504065,CDM,361,RC,49999,CPT,,,facility,outpatient,,,971.00000,347.62000,Kaiser Foundation Health Plan,Medicare Advantage,,999.27,,,,,,,436.95,5506.00,fee schedule,
THROMBOLYSIS INF CATH PERITONEAL,3504065,CDM,361,RC,49999,CPT,,,facility,outpatient,,,971.00000,347.62000,Kaiser Foundation Health Plan,Medicare Advantage,,999.27,,,,,,,436.95,5506.00,fee schedule,
THROMBOLYSIS INF CATH PERITONEAL,3504065,CDM,361,RC,49999,CPT,,,facility,outpatient,,,971.00000,347.62000,Quiktrip Corporation,Commercial,,524.34,,,,,,,436.95,5506.00,percent of total billed charges,
THROMBOLYSIS INF IC CORONARY W CAG,4802955,CDM,361,RC,92975,CPT,,,facility,outpatient,,,4534.00000,1623.17000,"Cigna Healthcare of Arizona, Inc.",Commercial,,3114.86,,,,,,,906.80,5105.00,percent of total billed charges,
THROMBOLYSIS INF IC CORONARY W CAG,4802955,CDM,361,RC,92975,CPT,,,facility,outpatient,,,4534.00000,1623.17000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,1813.60,,,,,,,906.80,5105.00,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
THROMBOLYSIS INF IV CORONARY,4801858,CDM,361,RC,92977,CPT,,,facility,outpatient,,,645.00000,230.91000,"Health Choice Arizona, Inc.",ACA Health Plan,,530.28,,,,,,,225.29,4521.00,fee schedule,
THROMBOLYSIS INF IV CORONARY,4801858,CDM,361,RC,92977,CPT,,,facility,outpatient,,,645.00000,230.91000,Gold Kidney Health Plan,Medicare Advantage,,388.87,,,,,,,225.29,4521.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4814992,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,"Health Choice Arizona, Inc.",Medicaid,,2074.70,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4814992,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Banner University Health Plan,Medicare Advantage,,3354.67,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4814992,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4814992,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4815593,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Arizona Physicians IPA,Medicare Advantage,,3354.67,,,,,,,1271.44,14854.00,fee schedule,
THROMBOLYSIS INF VEN INIT S&I,4815593,CDM,361,RC,37212,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,3485.96,,,,,,,1271.44,14854.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TIPS LVL 02,2776771,CDM,272,RC,,,,,facility,inpatient,,,594.00000,127.71000,Provider Network of America,Commercial,,445.50,,,,,,,267.30,445.50,percent of total billed charges,
TIPS LVL 02,2776771,CDM,272,RC,,,,,facility,outpatient,,,594.00000,127.71000,"Health Choice Arizona, Inc.",Medicare Advantage,,178.20,,,,,,,85.60,445.50,percent of total billed charges,
TIPS LVL 05,6289508,CDM,272,RC,,,,,facility,outpatient,,,6105.00000,1312.58000,Provider Network of America,Commercial,,4578.75,,,,,,,879.73,4578.75,percent of total billed charges,
TIPS LVL 06,6289516,CDM,272,RC,,,,,facility,inpatient,,,9265.00000,1991.97000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,4169.25,,,,,,,4169.25,6948.75,percent of total billed charges,
TOMOGRAPHY SGL EXCEPT URO,3225158,CDM,320,RC,76100,CPT,,,facility,outpatient,,,803.00000,226.45000,Kaiser Foundation Health Plan,Medicare Advantage,,113.34,,,,,,,79.00,602.25,fee schedule,
TOMOGRAPHY SGL EXCEPT URO,3225158,CDM,320,RC,76100,CPT,,,facility,outpatient,,,803.00000,226.45000,Kaiser Foundation Health Plan,Medicare Advantage,,113.34,,,,,,,79.00,602.25,fee schedule,
TOMOSYNTHESIS DX DIG BRST UNI/BI,3262235,CDM,401,RC,G0279,HCPCS,,,facility,outpatient,,,52.00000,23.82000,Blue Cross Blue Shield of Arizona,Commercial,,104.99,,,,,,,10.40,128.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TOMOSYNTHESIS DX DIG BRST UNI/BI,3262235,CDM,401,RC,G0279,HCPCS,,,facility,outpatient,,,52.00000,23.82000,Health Net,Commerical Exchange Product,,28.08,,,,,,,10.40,128.95,percent of total billed charges,
TOMOSYNTHESIS DX DIG BRST UNI/BI,3262235,CDM,401,RC,G0279,HCPCS,,,facility,outpatient,,,52.00000,23.82000,Health Net,Commerical Exchange Product,,28.08,,,,,,,10.40,128.95,percent of total billed charges,
TOMOSYNTHESIS DX DIG BRST UNI/BI,3262235,CDM,401,RC,G0279,HCPCS,,,facility,outpatient,,,52.00000,23.82000,Plotkin Health,Plotkin Health,,23.40,,,,,,,10.40,128.95,percent of total billed charges,
TOMOSYNTHESIS SCRN DIG BRST BI,3263373,CDM,403,RC,77063,CPT,,,facility,outpatient,,,52.00000,28.60000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,88.20,,,,,,,10.40,128.95,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TOMOSYNTHESIS SCRN DIG BRST BI,3263373,CDM,403,RC,77063,CPT,,,facility,outpatient,,,52.00000,28.60000,Oscar Health Plan,Commercial,,26.00,,,,,,,10.40,128.95,percent of total billed charges,
TOMOSYNTHESIS SCRN DIG BRST BI,3263373,CDM,403,RC,77063,CPT,,,facility,outpatient,,,52.00000,28.60000,Quiktrip Corporation,Commercial,,28.08,,,,,,,10.40,128.95,percent of total billed charges,
TRACHEOBRONCHOSCOPY THROUGH ESTABLISHED TRACHEOSTOMY INCISION,31615,CPT,,,,,,,facility,outpatient,,,,,Arizona Physicians IPA,Medicaid,750,327.96,,,,,,,327.96,3253.90,case rate,
TRACHEOBRONCHOSCOPY THROUGH ESTABLISHED TRACHEOSTOMY INCISION,31615,CPT,,,,,,,facility,outpatient,,,,,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,750,949.44,,,,,,,327.96,3253.90,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
TRANSDUCER LVL 01,2776979,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,Oscar Health Plan,Commercial,,156.50,,,,,,,45.10,234.75,percent of total billed charges,
TRANSDUCER LVL 01,2776979,CDM,272,RC,,,,,facility,outpatient,,,313.00000,67.30000,Plotkin Health,Plotkin Health,,140.85,,,,,,,45.10,234.75,percent of total billed charges,
TRANSDUCER LVL 02,2774461,CDM,272,RC,,,,,facility,outpatient,,,850.00000,182.75000,Aetna,Banner Employee Plans,,285.60,,,,,,,122.48,637.50,percent of total billed charges,
TRANSDUCER LVL 03,2774479,CDM,272,RC,,,,,facility,inpatient,,,1413.00000,303.80000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,635.85,,,,,,,635.85,1059.75,percent of total billed charges,
TRANSDUCER LVL 03,2774479,CDM,272,RC,,,,,facility,outpatient,,,1413.00000,303.80000,Aetna,Designated Group,,693.78,,,,,,,203.61,1059.75,percent of total billed charges,
TRANSDUCER LVL 03,2774479,CDM,272,RC,,,,,facility,outpatient,,,1413.00000,303.80000,Provider Network of America,Commercial,,1059.75,,,,,,,203.61,1059.75,percent of total billed charges,
TRANSDUCER LVL 03,2774479,CDM,272,RC,,,,,facility,outpatient,,,1413.00000,303.80000,Quiktrip Corporation,Commercial,,763.02,,,,,,,203.61,1059.75,percent of total billed charges,
TRANSDUCER LVL 04,6288997,CDM,272,RC,,,,,facility,outpatient,,,2695.00000,579.42000,Aetna,Designated Group,,1323.24,,,,,,,388.35,2021.25,percent of total billed charges,
TRANSFER TISS ANY AREA 30.1-60.0CM,7613466,CDM,761,RC,14301,CPT,,,facility,outpatient,,,4856.00000,2515.41000,Aetna,Joint Venture,,2243.47,,,,,,,1631.62,6438.20,percent of total billed charges,
TRANSFER TISS E/N/E&/L 0-10.0CM,7632359,CDM,761,RC,14060,CPT,,,facility,outpatient,,,3554.00000,1840.97000,Mercy Care,Medicaid,,1243.64,,,,,,,1194.14,4988.05,case rate,
TRANSFER TISS S/A&/L 10.1-30.0CM,7612559,CDM,761,RC,14021,CPT,,,facility,inpatient,,,4478.00000,2319.60000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,2015.10,,,,,,,2015.10,3358.50,percent of total billed charges,
TRANSFER TISS S/A&/L 10.1-30.0CM,7612559,CDM,761,RC,14021,CPT,,,facility,outpatient,,,4478.00000,2319.60000,"Cigna Healthcare of Arizona, Inc.",Commercial,,3076.39,,,,,,,1243.64,4988.05,percent of total billed charges,
TRANSFER TISS TRUNK 0-10.0CM,7612658,CDM,761,RC,14000,CPT,,,facility,outpatient,,,2726.00000,1412.07000,Blue Cross Blue Shield of Arizona,Commercial,,4357.45,,,,,,,915.94,4357.45,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFER TISS TRUNK 0-10.0CM,7612658,CDM,761,RC,14000,CPT,,,facility,outpatient,,,2726.00000,1412.07000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,1949.63,,,,,,,915.94,4357.45,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
TRANSFER TISS TRUNK 10.1-30.0CM,7612666,CDM,761,RC,14001,CPT,,,facility,outpatient,,,3465.00000,1794.87000,Aetna,Broad Network,,1999.31,,,,,,,1164.24,4988.05,percent of total billed charges,
TRANSFER TISS TRUNK 10.1-30.0CM,7612666,CDM,761,RC,14001,CPT,,,facility,outpatient,,,3465.00000,1794.87000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,3990.44,,,,,,,1164.24,4988.05,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFUSION BLOOD/COMP 1 UNIT,3900230,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Banner University Health Plan,University Care Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,3900230,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,1117.88,,,,,,,287.87,1397.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFUSION BLOOD/COMP 1 UNIT,3900230,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Blue Cross Blue Shield of Arizona,Commercial,,1397.35,,,,,,,287.87,1397.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFUSION BLOOD/COMP 1 UNIT,3900297,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Aetna,Qualified Health Plan,,633.71,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,3902525,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Aetna,Medical Rental,,657.17,,,,,,,287.87,1397.35,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TRANSFUSION BLOOD/COMP 1 UNIT,3902525,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Gold Kidney Health Plan,Medicare Advantage,,512.56,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,3902525,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Health Net,Medicare,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,3902913,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,United Healthcare,Commercial,,357.00,,,,,,,287.87,1397.35,per diem,
TRANSFUSION BLOOD/COMP 1 UNIT,7141138,CDM,391,RC,36430,CPT,,,facility,inpatient,,,1247.00000,386.57000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,561.15,,,,,,,561.15,935.25,percent of total billed charges,
TRANSFUSION BLOOD/COMP 1 UNIT,7141138,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Aetna,Qualified Health Plan,,633.71,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,7503055,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Health Net,Medicaid,,287.87,,,,,,,287.87,1397.35,case rate,
TRANSFUSION BLOOD/COMP 1 UNIT,7633043,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,"Health Choice Arizona, Inc.",ACA Health Plan,,698.94,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,7633043,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Aetna,Banner Employee Plans,,418.99,,,,,,,287.87,1397.35,percent of total billed charges,
TRANSFUSION BLOOD/COMP 1 UNIT,7633043,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Banner University Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,7633043,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Oscar Health Plan,Commercial,,768.83,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,7633043,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,United Healthcare,UHC Doctor's Plan,,325.00,,,,,,,287.87,1397.35,per diem,
TRANSFUSION BLOOD/COMP 1 UNIT,7690381,CDM,391,RC,36430,CPT,,,facility,inpatient,,,1247.00000,386.57000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,561.15,,,,,,,561.15,935.25,percent of total billed charges,
TRANSFUSION BLOOD/COMP 1 UNIT,7690381,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Aetna,Medical Rental,,657.17,,,,,,,287.87,1397.35,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TRANSFUSION BLOOD/COMP 1 UNIT,7690381,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Care 1st,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 1 UNIT,7690381,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1247.00000,386.57000,Gold Kidney Health Plan,Medicare Advantage,,512.56,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Banner Health,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Banner Health,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,1117.88,,,,,,,287.87,1397.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,1397.35,,,,,,,287.87,1397.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Kaiser Foundation Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Kaiser Foundation Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,NaphCare,Federal,,629.05,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900248,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",465.96,430.19,465.96,1 through 10,287.87,1397.35,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc."
TRANSFUSION BLOOD/COMP 2 UNITS,3900305,CDM,391,RC,36430,CPT,,,facility,inpatient,,,1559.00000,483.29000,Provider Network of America,Commercial,,1169.25,,,,,,,701.55,1169.25,percent of total billed charges,
TRANSFUSION BLOOD/COMP 2 UNITS,3900305,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Aetna,Medical Rental,,821.59,,,,,,,287.87,1397.35,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
TRANSFUSION BLOOD/COMP 2 UNITS,3900305,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Care 1st,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900305,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Kaiser Foundation Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3900305,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Kaiser Foundation Health Plan,Medicare Advantage,,465.96,,,,,,,287.87,1397.35,fee schedule,
TRANSFUSION BLOOD/COMP 2 UNITS,3902533,CDM,391,RC,36430,CPT,,,facility,inpatient,,,1559.00000,483.29000,Quiktrip Corporation,Commercial,,841.86,,,,,,,701.55,1169.25,percent of total billed charges,
TRANSFUSION BLOOD/COMP 2 UNITS,3902533,CDM,391,RC,36430,CPT,,,facility,outpatient,,,1559.00000,483.29000,Devoted Health Services,Medicare Advantage,,489.26,,,,,,,287.87,1397.35,fee schedule,
