VENOGRAM RENAL SEL RT S&I,4804175,CDM,320,RC,75831,CPT,,,facility,outpatient,,,3660.00000,1032.12000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,RT,308.50,,,,,,,107.16,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM SINUS SAGITTAL SUP S&I,3225539,CDM,320,RC,75870,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,3690.14,,,,,,,153.00,14487.17,fee schedule,
VENOGRAM SINUS SAGITTAL SUP S&I,3225539,CDM,320,RC,75870,CPT,,,facility,outpatient,,,4923.00000,1388.29000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,524.34,,,,,,,153.00,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM SINUS SAGITTAL SUP S&I,3225539,CDM,320,RC,75870,CPT,,,facility,outpatient,,,4923.00000,1388.29000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,2215.35,,,,,,,153.00,14487.17,percent of total billed charges,
VENOGRAM SINUS VEN/JUG S&I,3225489,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Aetna,Medical Rental,,2160.17,,,,,,,113.95,14487.17,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
VENOGRAM SINUS VEN/JUG S&I,3225489,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Banner University Health Plan,University Family Plan,,2074.70,,,,,,,113.95,14487.17,fee schedule,
VENOGRAM SINUS VEN/JUG S&I,3225489,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,390.53,,,,,,,113.95,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM SINUS VEN/JUG S&I,3225489,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,292.90,,,,,,,113.95,14487.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENOGRAM SINUS VEN/JUG S&I,4802484,CDM,320,RC,75860,CPT,,,facility,inpatient,,,4099.00000,1155.92000,Aetna,Medical Rental,,2160.17,,,,,,,1844.55,3074.25,percent of total billed charges,
VENOGRAM SINUS VEN/JUG S&I,4802484,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,3690.14,,,,,,,113.95,14487.17,fee schedule,
VENOGRAM SINUS VEN/JUG S&I,4802484,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Gila River Health Care Corporation,Managed Care Program,,3354.67,,,,,,,113.95,14487.17,fee schedule,
VENOGRAM SINUS VEN/JUG S&I,4802484,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,113.95,14487.17,fee schedule,
VENOGRAM SINUS VEN/JUG S&I,4802484,CDM,320,RC,75860,CPT,,,facility,outpatient,,,4099.00000,1155.92000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,113.95,14487.17,fee schedule,
VENOGRAM SVC SERIAL S&I,4802419,CDM,320,RC,75827,CPT,,,facility,outpatient,,,1282.00000,361.52000,"Health Choice Arizona, Inc.",Medicaid,,1019.45,,,,,,,103.06,7118.60,fee schedule,
VENOGRAM SVC SERIAL S&I,4802419,CDM,320,RC,75827,CPT,,,facility,outpatient,,,1282.00000,361.52000,United Healthcare,Individual Exchange,,2317.97,,,,,,,103.06,7118.60,fee schedule,
VENT INITIAL DAY,4109583,CDM,410,RC,94002,CPT,,,facility,outpatient,,,3789.00000,735.07000,Aetna,Medical Rental,,1996.80,,,,,,,207.42,2841.75,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
VENT INITIAL DAY,4109583,CDM,410,RC,94002,CPT,,,facility,outpatient,,,3789.00000,735.07000,Banner University Health Plan,University Care Advantage,,704.61,,,,,,,207.42,2841.75,fee schedule,
VENT INITIAL DAY,4109583,CDM,410,RC,94002,CPT,,,facility,outpatient,,,3789.00000,735.07000,United Healthcare,Medicare Advantage,,704.61,,,,,,,207.42,2841.75,fee schedule,
VENT SUBSQ DAY,4109591,CDM,410,RC,94003,CPT,,,facility,outpatient,,,3033.00000,588.40000,"Health Choice Arizona, Inc.",Medicare Advantage,,704.61,,,,,,,150.03,2274.75,fee schedule,
VENT SUBSQ DAY,4109591,CDM,410,RC,94003,CPT,,,facility,outpatient,,,3033.00000,588.40000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,411.35,,,,,,,150.03,2274.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VENT SUBSQ DAY,4109591,CDM,410,RC,94003,CPT,,,facility,outpatient,,,3033.00000,588.40000,Health Net,Medicaid,,351.81,,,,,,,150.03,2274.75,fee schedule,
VENT SUBSQ DAY,4109591,CDM,410,RC,94003,CPT,,,facility,outpatient,,,3033.00000,588.40000,Provider Network of America,Commercial,,2274.75,,,,,,,150.03,2274.75,percent of total billed charges,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,"Cigna Healthcare of Arizona, Inc.",Commercial,,1336.21,,,,,,,653.52,5591.54,percent of total billed charges,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,"Health Choice Arizona, Inc.",ACA Health Plan,,5083.22,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Arizona Physicians IPA,Medicaid,,1901.83,,,,,,,653.52,5591.54,case rate,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,3388.81,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,3388.81,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Devoted Health Services,Medicare Advantage,,3558.25,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Health Net,Commerical Exchange Product,,5015.44,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Health Net,Commerical Exchange Product,,5015.44,,,,,,,653.52,5591.54,fee schedule,
VERSION CEPHALIC EXTERNAL,7201080,CDM,720,RC,59412,CPT,,,facility,outpatient,,,1945.00000,1733.00000,Oscar Health Plan,Commercial,,5591.54,,,,,,,653.52,5591.54,fee schedule,
VERTEBROPLASTY CRVTHOR PERC,3262110,CDM,361,RC,22510,CPT,,,facility,outpatient,,,5456.00000,1953.25000,"Health Choice Arizona, Inc.",ACA Health Plan,,5187.26,,,,,,,949.44,16820.00,fee schedule,
VERTEBROPLASTY CRVTHOR PERC,3262110,CDM,361,RC,22510,CPT,,,facility,outpatient,,,5456.00000,1953.25000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,949.44,,,,,,,949.44,16820.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
VERTEBROPLASTY CRVTHOR PERC,4800967,CDM,361,RC,22510,CPT,,,facility,outpatient,,,5456.00000,1953.25000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,15138.00,,,,,,,949.44,16820.00,case rate,Multiple procedure logic: 100/50/25
VERTEBROPLASTY CRVTHOR PERC,4800967,CDM,361,RC,22510,CPT,,,facility,outpatient,,,5456.00000,1953.25000,Banner University Health Plan,University Family Plan,,2052.04,,,,,,,949.44,16820.00,case rate,
VERTEBROPLASTY CRVTHOR/LS PERC ADDL,4800983,CDM,361,RC,22512,CPT,,,facility,outpatient,,,3251.00000,1163.86000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,474.72,,,,,,,468.47,16820.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
VERTEBROPLASTY LUMBOSACRAL PERC,3262128,CDM,361,RC,22511,CPT,,,facility,outpatient,,,5099.00000,1825.44000,United Healthcare,UHC Doctor's Plan,,6560.00,,,,,,,949.44,16820.00,case rate,
VERTEBROPLASTY LUMBOSACRAL PERC,3502655,CDM,361,RC,22511,CPT,,,facility,outpatient,,,5099.00000,1825.44000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,2603.12,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
VERTEBROPLASTY LUMBOSACRAL PERC,3502655,CDM,361,RC,22511,CPT,,,facility,outpatient,,,5099.00000,1825.44000,Health Net,Medicare,,3458.17,,,,,,,949.44,16820.00,fee schedule,
VERTEBROPLASTY LUMBOSACRAL PERC,3502655,CDM,361,RC,22511,CPT,,,facility,outpatient,,,5099.00000,1825.44000,Provider Network of America,Commercial,,3824.25,,,,,,,949.44,16820.00,percent of total billed charges,
VERTEBROPLASTY LUMBOSACRAL PERC,4800975,CDM,361,RC,22511,CPT,,,facility,outpatient,,,5099.00000,1825.44000,Gila River Health Care Corporation,Managed Care Program,,3458.17,,,,,,,949.44,16820.00,fee schedule,
VEST AIRWAY DISPOSABLE LVL 01,6275275,CDM,271,RC,,,,,facility,inpatient,,,594.00000,137.21000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,267.30,,,,,,,267.30,445.50,percent of total billed charges,
VEST AIRWAY DISPOSABLE LVL 01,6275275,CDM,271,RC,,,,,facility,inpatient,,,594.00000,137.21000,Quiktrip Corporation,Commercial,,320.76,,,,,,,267.30,445.50,percent of total billed charges,
VEST AIRWAY DISPOSABLE LVL 02,6281455,CDM,271,RC,,,,,facility,outpatient,,,850.00000,196.35000,Plotkin Health,Plotkin Health,,382.50,,,,,,,122.48,637.50,percent of total billed charges,
VEST AIRWAY DISPOSABLE LVL 03,6281463,CDM,271,RC,,,,,facility,outpatient,,,1132.00000,261.49000,Health Net,Medicare,,566.00,,,,,,,163.12,849.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7610512,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,"Health Choice Arizona, Inc.",Medicare Advantage,,40.50,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7611437,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Arizona Medical Network,Commercial,,94.50,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7611783,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Aetna,Medical Rental,,71.14,,,,,,,27.00,101.25,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
VISIT ESTABLISHED LEVEL 1,7611783,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Health Net,Medicaid,,54.54,,,,,,,27.00,101.25,fee schedule,
VISIT ESTABLISHED LEVEL 1,7613029,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Health Net,Medicare,,67.50,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7614589,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,"Health Choice Arizona, Inc.",Medicaid,,54.54,,,,,,,27.00,101.25,fee schedule,
VISIT ESTABLISHED LEVEL 1,7616220,CDM,510,RC,99211,CPT,,,facility,inpatient,,,135.00000,64.26000,Plotkin Health,Plotkin Health,,60.75,,,,,,,60.75,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7616386,CDM,510,RC,99211,CPT,,,facility,inpatient,,,135.00000,64.26000,Plotkin Health,Plotkin Health,,60.75,,,,,,,60.75,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7616725,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Aetna,Medicare Advantage,,27.00,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7616725,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,United Healthcare,UHC Doctor's Plan,,65.47,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7618606,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Health Net,Medicaid,,54.54,,,,,,,27.00,101.25,fee schedule,
VISIT ESTABLISHED LEVEL 1,7633746,CDM,510,RC,99211,CPT,,,facility,inpatient,,,135.00000,64.26000,Provider Network of America,Commercial,,101.25,,,,,,,60.75,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 1,7633746,CDM,510,RC,99211,CPT,,,facility,outpatient,,,135.00000,64.26000,Provider Network of America,Commercial,,101.25,,,,,,,27.00,101.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7611791,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Health Choice Arizona, Inc.",Medicare Advantage,,64.50,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,inpatient,,,215.00000,102.34000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,96.75,,,,,,,96.75,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,inpatient,,,215.00000,102.34000,Plotkin Health,Plotkin Health,,96.75,,,,,,,96.75,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,inpatient,,,215.00000,102.34000,Provider Network of America,Commercial,,161.25,,,,,,,96.75,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Health Choice Arizona, Inc.",Medicaid,,54.54,,,,,,,43.00,161.25,fee schedule,
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,86.00,,,,,,,43.00,161.25,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
VISIT ESTABLISHED LEVEL 2,7614506,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,96.75,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7616246,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,141.25,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7616246,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,Banner University Health Plan,AZ Medicaid - AHCCCS,,54.54,,,,,,,43.00,161.25,fee schedule,
VISIT ESTABLISHED LEVEL 2,7616394,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Health Choice Arizona, Inc.",Medicaid,,54.54,,,,,,,43.00,161.25,fee schedule,
VISIT ESTABLISHED LEVEL 2,7616394,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,Quiktrip Corporation,Commercial,,116.10,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7616733,CDM,510,RC,99212,CPT,,,facility,inpatient,,,215.00000,102.34000,Plotkin Health,Plotkin Health,,96.75,,,,,,,96.75,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7616733,CDM,510,RC,99212,CPT,,,facility,inpatient,,,215.00000,102.34000,Provider Network of America,Commercial,,161.25,,,,,,,96.75,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7619505,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Health Choice Arizona, Inc.",Medicaid,,54.54,,,,,,,43.00,161.25,fee schedule,
VISIT ESTABLISHED LEVEL 2,7619505,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,96.75,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 2,7633753,CDM,510,RC,99212,CPT,,,facility,outpatient,,,215.00000,102.34000,"Health Choice Arizona, Inc.",ACA Health Plan,,107.50,,,,,,,43.00,161.25,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7610538,CDM,510,RC,99213,CPT,,,facility,inpatient,,,320.00000,152.32000,Plotkin Health,Plotkin Health,,144.00,,,,,,,144.00,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7610538,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Plotkin Health,Plotkin Health,,144.00,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7611809,CDM,510,RC,99213,CPT,,,facility,inpatient,,,320.00000,152.32000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,144.00,,,,,,,144.00,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7613045,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,"Health Choice Arizona, Inc.",Medicare Advantage,,96.00,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7614522,CDM,510,RC,99213,CPT,,,facility,inpatient,,,320.00000,152.32000,Quiktrip Corporation,Commercial,,172.80,,,,,,,144.00,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7614522,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,"Cigna Healthcare of Arizona, Inc.",Commercial,,219.84,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7614522,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Aetna,Medicare Advantage,,64.00,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7614522,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Banner University Health Plan,University Family Plan,,54.54,,,,,,,54.54,240.00,fee schedule,
VISIT ESTABLISHED LEVEL 3,7614522,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,United Healthcare,UHC Doctor's Plan,,155.20,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7616261,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Mercy Care,Medicaid,,54.54,,,,,,,54.54,240.00,fee schedule,
VISIT ESTABLISHED LEVEL 3,7616402,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,"Health Choice Arizona, Inc.",Medicare Advantage,,96.00,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7616402,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Health Net,Medicare,,160.00,,,,,,,54.54,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7619513,CDM,510,RC,99213,CPT,,,facility,inpatient,,,320.00000,152.32000,Aetna,Medical Rental,,168.64,,,,,,,144.00,240.00,percent of total billed charges,
VISIT ESTABLISHED LEVEL 3,7619513,CDM,510,RC,99213,CPT,,,facility,outpatient,,,320.00000,152.32000,Banner University Health Plan,University Family Plan,,54.54,,,,,,,54.54,240.00,fee schedule,
VISIT ESTABLISHED LEVEL 4,7611817,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,Plotkin Health,Plotkin Health,,193.50,,,,,,,54.54,322.50,percent of total billed charges,
VISIT ESTABLISHED LEVEL 4,7616287,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,193.50,,,,,,,54.54,322.50,percent of total billed charges,
VISIT ESTABLISHED LEVEL 4,7616410,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,Arizona Medical Network,Commercial,,301.00,,,,,,,54.54,322.50,percent of total billed charges,
VISIT ESTABLISHED LEVEL 4,7616410,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,Banner University Health Plan,AZ Medicaid - AHCCCS,,54.54,,,,,,,54.54,322.50,fee schedule,
VISIT ESTABLISHED LEVEL 4,7616410,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,United Healthcare,UHC Core,,218.01,,,,,,,54.54,322.50,percent of total billed charges,
VISIT ESTABLISHED LEVEL 4,7617269,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,Banner University Health Plan,AZ Medicaid - AHCCCS,,54.54,,,,,,,54.54,322.50,fee schedule,
VISIT ESTABLISHED LEVEL 4,7633779,CDM,510,RC,99214,CPT,,,facility,outpatient,,,430.00000,204.68000,Aetna,Medical Rental,,226.61,,,,,,,54.54,322.50,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
