"ANCHOR SUTURE SIZE 0 NEEDLEOS 2 MINILOK QUICK PLUS PANACRYL BIO ABSORBABLE BIT","SUP-ITM-10025720","CDM","C1713","HCPCS","0278","RC","","","","both","","","1200.50","900.37","CENTERS OF EXCELLENCE [1026]","HB AMC TRANSPLANT AETNA","787.53","65.6","","947.80","947.80","947.80","1 through 10","372.16","954.4","percent of total billed charges",""
"ANCHOR SUTURE SIZE 0 NEEDLEOS 2 MINILOK QUICK PLUS PANACRYL BIO ABSORBABLE BIT","SUP-ITM-10025720","CDM","C1713","HCPCS","0278","RC","","","","both","","","1200.50","900.37","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","438.18","36.5","","149.84","82.76","934.90","224","372.16","954.4","percent of total billed charges",""
"ANCHOR SUTURE SIZE 0 NEEDLEOS 2 MINILOK QUICK PLUS PANACRYL BIO ABSORBABLE BIT","SUP-ITM-10025720","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","1200.50","900.37","INTERNATIONAL COMMERCIAL [140001]","HB AMC UNITED PPO / POS","981.05","81.72","","6174.52","3163.80","6174.52","1 through 10","600.25","981.05","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 1.0MM ARTHROSCOPY JUGGERKNOT SOFT MAXBRAID POLYESTER SLEEVE DRILL MINI","SUP-ITM-10094373","CDM","C1713","HCPCS","0278","RC","","","","both","","","1059.87","794.90","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","564.91","53.3","","610.80","79.76","2075.55","343","328.56","842.6","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 ARTHROSCOPY VERSALOK ORTHOCORD NONABSORBABLE","SUP-ITM-10020961","CDM","C1713","HCPCS","0278","RC","","","","both","","","1113.00","834.75","CIGNA [1006]","HB AMC CIGNA HMO / PPO","884.84","79.5","","547.21","117.23","2138.40","623","345.03","884.84","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 LENGTH36IN ARTHROSCOPY LUPINE BIOABSORBABLE ORTHOCORD","SUP-ITM-10021990","CDM","C1713","HCPCS","0278","RC","","","","both","","","917.00","687.75","INTERNATIONAL COMMERCIAL [140001]","HB AMC QHM INTERNATIONAL","660.24","72","","297.00","189.00","297.00","1 through 10","284.27","729.02","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 NEEDLECP2 LENGTH36IN ARTHROSCOPY GII QUICK PLUS","SUP-ITM-10005974","CDM","C1713","HCPCS","0278","RC","","","","both","","","654.50","490.87","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL PPO","250.67","38.3","","240.23","60.66","804.68","738","202.9","520.33","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 NEEDLECP2 LENGTH36IN ARTHROSCOPY GII QUICK PLUS","SUP-ITM-10005974","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","654.50","490.87","AETNA [1001]","HB AMC AETNA STUDENT HEALTH","365.87","55.9","","1303.01","1303.01","1303.01","1 through 10","327.25","534.86","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 NEEDLEV 5 LENGTH18IN ARTHROSCOPY QUICK MINI PK/1EA","SUP-ITM-10082673","CDM","C1713","HCPCS","0278","RC","","","","both","","","728.00","546.00","UNITED HEALTHCARE ALTERNATE [1020]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","312.31","42.9","","799.05","799.05","799.05","1 through 10","225.68","578.76","percent of total billed charges",""
"ANCHOR SUTURE SIZE 2 0 NEEDLEV5 LENGTH2.0MM ARTHROSCOPY GII QUICK SS DRILL BIT ORTHOCORD BRAIDED MINI","SUP-ITM-10030988","CDM","C1713","HCPCS","0278","RC","","","","both","","","1183.00","887.25","CENTERS OF EXCELLENCE [1026]","HB AMC TRANSPLANT AETNA","776.05","65.6","","947.80","947.80","947.80","1 through 10","366.73","940.49","percent of total billed charges",""
