"EPINEPHrine endotracheal 0.1 mg/mL (1:10,000) syringe 10 mL Syringe",0250,RC,00409492134,NDC,25000003,CDM,,,,outpatient,10,ML,24.00,8.40,United Healthcare,HMO/POS/PPO,17.88,74.50,,,,,0,percent of total billed charges,6.87,17.88,No services performed during 15-month lookback period.,Reimbursed at 74.5% of the billed charges. The stated percentage rate applies to entire bill.,facility
"EPINEPHrine endotracheal 0.1 mg/mL (1:10,000) syringe 10 mL Syringe",0250,RC,76329331601,NDC,25000003,CDM,,,,inpatient,10,ML,27.90,9.77,CMS,Medicare,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,9.57,9.57,No services performed during 15-month lookback period.,,facility
"EPINEPHrine endotracheal 0.1 mg/mL (1:10,000) syringe 10 mL Syringe",J0168,HCPCS,0250,RC,76329331801,NDC,25000002,CDM,,outpatient,10,ML,38.92,13.63,Denver Health Medical Plan,Medicare Advantage,,,Service is bundled into other payable services where appropriate,,,,0,other,11.15,29.00,No services performed during 15-month lookback period.,,facility
"EPINEPHrine endotracheal 0.1 mg/mL (1:10,000) syringe 10 mL Syringe",J0171,HCPCS,0250,RC,76329331601,NDC,25000002,CDM,,outpatient,10,ML,27.90,9.77,Denver Health Medical Plan,Medicare Advantage,,,Not reimbursed per the contract,,,,0,other,1.24,9.57,No services performed during 15-month lookback period.,,facility
"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",392,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,Medicare Advantage,20470.70,,,,,,,case rate,6806.00,28806.37,,,facility
"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH COMPLEX REPAIR",11451,CPT,0361,RC,36111451,CDM,,,,inpatient,,,14669.15,5134.21,Denver Health Medical Plan,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,5031.52,5031.52,No services performed during 15-month lookback period.,,facility
"Epifix, inj, 1mg",Q4145,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,45.90,,,,,,,fee schedule,34.65,45.90,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Ext wear ost skn barr <=4sq""",A4407,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,20.32,,,,,,,case rate,7.46,20.32,,,facility
"Ferumoxytol, non-esrd",Q0138,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,0.37,,,,,,,case rate,0.23,2.63,,,facility
"Floweramnioflo, 0.1 cc",Q4177,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,275.40,,,,,,,fee schedule,249.12,297.00,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
